Preset,Section,Key Cnt,Value Type,,,
80,3,string,cras_track11,??? ???? ???,The Cras Engineering College Reverse,???
81,3,string,cras_track12,?? ???? ???,The Higher Rank Mountain Way Reverse,???
82,3,string,cras_track13,??? ???? ???,The Cras High Level Road Reverse,???
83,3,string,cras_track14,??? ????? ???,The Cras Gymnasium Reverse,???
84,3,string,1,? ????? ??????? ????? ????? ???? ???.,,???????
85,3,string,2,??,,???????
86,3,string,3,"?? ?? ? ??? ???????.

??? ??? ?? ? ?? ??? ? ???.",,
87,3,string,4,????? ?? ??,,
88,3,string,5,????? ?? ? ???. ?? ?? ??? ?? ?? ?????? ????.,,
89,3,string,6,??? ?? ?????? ????? ?? ?? ? ???. ?? ?? ? ?? ?????? ????.,,
90,3,string,7,???? ??? ?????. ??? ? ?? ?????? ??? ? ?? ?? ?????? ??? ? ??? ??? ????.,,
91,3,string,8,???? ??? ??? ???????. ???? ?? ??? ?????? ????.,,
92,3,string,9,???? ?? ??? ??? ???????. ??? ?????(IE)? ?? ?????? ????.,,
93,3,string,10,???? ??? ??????. ???? ?? ??? ?? ?????? ????.,,
94,3,string,11,?? ????? ???????. ???? ????? ??? ? ?? ?????? ????.,,
95,3,string,12,???? ????? ???????. ??? ?? ?? ?? ?? ??? ? ?? ??? ??? ??? ??? ????.,,
96,3,string,13,"???? ???? ?? ??? ???????. ?? ? ??? ????, ?? ???? ??? ??? ??? ??? ????.",,
97,3,string,14,"???? ????? ???? ? ????. ???? ??? ?? ?? ?? ? ??? ?????, PC ?? ????? ????? ??? ??? ??? ????.",,
98,3,string,15,???? ? ??? ?? ?? ??? ?? ????. ??? ????? ????? ?? ??? ? ????.,,
99,3,string,16,???? ?? ? ??? ???????. ?? ?? ?? GameGuard ??? ?? *.erl ???? game@inca.co.kr? ???? ?? ????? ????.,,
100,3,string,17,???? ?? : %lu,,
101,3,string,18,???? ??? ?? : %lu,,
102,3,string,19,????? ???????.,,
103,3,string,20,???? ???????.,,
104,3,string,21,???? ????? ???????.,,
105,3,string,10000,?? ???,,
106,3,string,10001,?? ?? ??,,
107,3,string,10002,?? ?? ??,,
108,3,string,10003,?? ???,,
109,3,string,10004,??? ???,,
110,3,string,10005,?? ???,,
111,3,string,10006,?? ?? ??,,
112,3,string,10007,?? ?? ??,,
113,3,string,10008,??? ???,,
114,3,string,10009,?? ???,,
115,3,string,10010,?? ?? ??,,
116,3,string,10011,?? ?? ??,,
117,3,string,10012,Area ?? ?? ??,,
118,3,string,10013,Game ?? ?? ??,,
119,3,string,10014,??? ???,,
120,3,string,10015,???,,???
121,3,string,10016,%s ?? ???????.,,
122,3,string,10017,%s ? ??? ???????.,,
123,3,string,10018,%s ??? ???????.,,
124,3,string,10019,??? ???????.,,
125,3,string,10020,%s? ? ??? ?????????,,
126,3,string,10021,%s ? ??? ???????.,,
127,3,string,10022,%s? ? ??? ?????????,,
128,3,string,10023,%s ????? ???????.,,
129,3,string,10024,"???? %d ??
??: ???? ?",,
130,3,string,10025,"???? %d ??
??: ???? ?",,
131,3,string,10026,%s ????? ??? ????? ?????. ?????????,,
132,3,string,10027,???? ??? ???? ????..,,
133,3,string,10028,???? ?? ?? ??? ????.,,
134,3,string,10029,??? ???????.,,
135,3,string,10030,???? ??? ???? ????.,,
136,3,string,10031,?? ????? ??? ?? ??????.,,
137,3,string,10032,???? ?? ?? ??? ????.,,
138,3,string,10033,??? ??????.,,
139,3,string,10034,??: %s,,
140,3,string,10035,"%s ???? ???
%s
?????????",,
141,3,string,10036,??%d : %s,,
142,3,string,10037,??,,
143,3,string,10038,????? ???? %s? ??????,,
144,3,string,10039,??? ??????. ??? ???? ????? ??? ???? ???.,,
145,3,string,10040,??? ???? ???? ??? ? ????.,,
146,3,string,10041,combo ??? Exp %u,,
147,3,string,10042,????? ???????.,,
148,3,string,10043,"?? ???????.
?? ??????.",,
149,3,string,10044,"%s? ??? 5? ???,
'%s'?? ??? ???? ???????.",,
150,3,string,10045,?? ???? ??????.(%d),,
151,3,string,10046,??? ?? ????.,,
152,3,string,10047,???? ????.,,
153,3,string,10048,???? ?? ??????.,,
154,3,string,10049,???? ??????.,,
155,3,string,10050,???? 3? ??? ????. ??? ?? ??????.,,
156,3,string,10051,???? ???????. ??? ?? ??????.,,
157,3,string,10052,%hd ?,,
158,3,string,10053,?????. ??? ?????.,,
159,3,string,10054,%s ?? ?? %d? ?????.,,
160,3,string,10055,???!!! ??? ??? GM ??? ??? 2?!,,
161,3,string,10056,%d mito ??,,
162,3,string,10057,?????.,,
163,3,string,10058,%s : ???,,??????
164,3,string,10059,%s : ???,,??????
165,3,string,10060,%s : ???,,??????
166,3,string,10061,%s : ????,,??????
167,3,string,10062,%s : ??,,??????
168,3,string,10063,%s : ??,,??????
169,3,string,10064,%s : ??,,??????
170,3,string,10065,"???? ???
????? ???? ???
???? ????.",,
171,3,string,10066,"OMD ?? ???? ??? ?? ??? ???? ??? ? ????.
???? ??? ??? ???? ?????.",,
172,3,string,10067,"???? ??? ?? ???? ?????.
?????????",,
173,3,string,10068,31???? ??? ?????.,,
174,3,string,10069,ROUND 1,,
175,3,string,10070,ROUND 2,,
176,3,string,10071,ROUND 3,,
177,3,string,10072,?? ?? ? :,,
178,3,string,10073,%u? %u?,,
179,3,string,10074,?????? :,,
180,3,string,10075,? ? ? ?,,
181,3,string,10076,%d?,,
182,3,string,10077,?? ???? ????? ?????.,,
183,3,string,10078,??? :,,
184,3,string,10079,???? :,,
185,3,string,10080,????? ??????. ??? ??? ?????.,,
186,3,string,10081,??? ?? ????? ???? ?????.,,
187,3,string,10082,????,,????
188,3,string,10083,?????,,????
189,3,string,10084,???,,????
190,3,string,10085,???,,????
191,3,string,10086,%s ?? %d ??? ?? ????.,,
192,3,string,10087,??? ?? ??.,,
193,3,string,10088,???? ?????.,,
194,3,string,10089,"?? ??? ???? ???????.
??? ???????",,
195,3,string,10090,????? ???,,??????
196,3,string,10091,???? ?? ?? ???? ??? ???? ? ??? ?????.,,??????
197,3,string,10092,"??, ???? ?? ??? ???, ??? ?????. ?????, ??? ??? ?? '??'??? ?????.",,
198,3,string,10093,??? ??????,,
199,3,string,10094,?? ?? ???? ??? ?????.,,
200,3,string,10095,??? : %d%%,,?????
201,3,string,10096,%s ? %d? ???????.,,
202,3,string,10097,%s ? %d? ?????.,,
203,3,string,10098,%s ? %d? %d mito? ??????.,,
204,3,string,10099,%s ? %d? %d mito? ??????.,,
205,3,string,10100,%s ? ??????.,,
206,3,string,10101,%s ? ?? ??????.,,
207,3,string,10102,%s ????? ??. %d mito ??,,
208,3,string,10103,%s ????? ??. %d mito ??,,
209,3,string,10104,%s ????? ?? + ??? ??. %d mito ??,,
210,3,string,10105,%s? %d? ??????.,,
211,3,string,10106,??? ??????.,,
212,3,string,10107,???? ??????.,,
213,3,string,10108,%s? ??????.,,
214,3,string,10109,"%s??? ??? ???????.
(%s ??)",,
215,3,string,10110,"%s??? ??? ???????.
(%s %d?)",,
216,3,string,10111,"%s????? ? ??? ??? ????? ??????.
(%s ??)",,
217,3,string,10112,"%s????? ? ??? ??? ????? ??????.
(%s %d?)",,
218,3,string,10113,%s? ??????.,,
219,3,string,10114,%s? ??????.,,
220,3,string,10115,%s? ??????.,,
221,3,string,10116,%s? ?????.,,
222,3,string,10117,%s? ??? ??????.,,
223,3,string,10118,??? ?? ????.,,
224,3,string,10119,%s ? %d mito? ??????.,,
225,3,string,10120,%s? ???????.,,
226,3,string,10121,[%s] ???. ?? ??.,,
227,3,string,10122,[%s] ???? ?????.,,
228,3,string,10123,[%s] ??.,,
229,3,string,10124,[%s] ??.,,
230,3,string,10125,???? ?? ??????,,
231,3,string,10126,[%s] ??? <%s> ??.,,
232,3,string,10127,[%s] ??? <%s> ??.,,
233,3,string,10128,[%s] ??? <%s> ?? ??.,,
234,3,string,10129,[%s] ??? <%s> ?? ??.,,
235,3,string,10130,???? ?? ??.,,
236,3,string,10131,???? ?? ??.,,
237,3,string,10132,???? ?? ??.,,
238,3,string,10133,[%s] ????? ?????.,,
239,3,string,10134,Exp. %d Mito. %d <???>,,
240,3,string,10135,Exp. %d Mito. %d <???>,,
241,3,string,10136,Exp. %d Mito. %d <???>,,
242,3,string,10137,[%s] ??.,,
243,3,string,10138,????? ?????.,,
244,3,string,10139,?????? ?????.,,
245,3,string,10140,???? ?????.,,
246,3,string,10141,"????? ??????
???,????,????
????? ???.",,
247,3,string,10142,?? ??? %d? ?? ?????.,,???????
248,3,string,10143,?? ?? %d? ??. ??? ??? ? ????.,,
249,3,string,10144,???? %d? ??. ??? ??? ? ????.,,
250,3,string,10145,??? ?? %d? ??. ??? ??? ? ????.,,
251,3,string,10146,?? ?? %d? ??. ??? ??? ? ????.,,
252,3,string,10147,???? %d? ??. ??? ??? ? ????.,,
253,3,string,10148,???? ?? %d? ??. ??? ??? ? ????.,,
254,3,string,10149,???? ?? %d? ??. ??? ?? ?? ????.,,
255,3,string,10150,?? ?? %d? ??. ??? ??? ? ????.,,
256,3,string,10151,????? %d? ??. ??? ??? ? ????.,,
257,3,string,10152,???? ???,,
258,3,string,10153,???? ???,,
259,3,string,10154,???? ??? ???,,
260,3,string,10155,4 ?? ???,,
261,3,string,10156,5.1 ?? ???,,
262,3,string,10157,7.1 ?? ???,,
263,3,string,10158,?? ???,,
264,3,string,10159,%5u ? %5u ? (??),,
265,3,string,10160,%5u ? %5u ? (??),,
266,3,string,10161,%5d ?,,
267,3,string,10162,????? ?????.,,
268,3,string,10163,%s ?? ?? ??? ?????.,,
269,3,string,10164,%s ?? ?? ???? ?? ?? ?? ?? ? ? ????.,,
270,3,string,10165,"%s
??: %d??
",,
271,3,string,10166,??? ??? ??,,
272,3,string,10167,"?????. ??????? ???.
???? ??? ?? ?? ????~",,
273,3,string,10168,%s ? ??,,
274,3,string,10169,?? ? ??,,
275,3,string,10170,?? ?? ???? ??? ? ?? ????.,,
276,3,string,10171,"???? ??? ?? ???? ?????.
?????????",,
277,3,string,10172,%d EXP ??,,
278,3,string,10173,%d Mito ??,,
279,3,string,10174, %d?,,
280,3,string,10175, %d?,,
281,3,string,10176, +%d?,,
282,3,string,10177, [??],,
283,3,string,10178,??? ??.,,
284,3,string,10179,%s (%d? %d? %2d),,
285,3,string,10180,"??? ??? ????? ?????.
??? ????? ????.",,
286,3,string,10181,??? ????,,
287,3,string,10182,? ??? ???? ?? ?? ?????.,,
288,3,string,10183,%s <???>,,
289,3,string,10184,%s (%d? %d?),,
290,3,string,10185,?? ?? ????.,,
291,3,string,10186,?????? ????? ?? ? ????.,,
292,3,string,10187,???? ????? ????.,,
293,3,string,10188,??? ????? ??? ? ????.,,
294,3,string,10189,????? ????????,,
295,3,string,10190,???? ?? ? ????.,,
296,3,string,10191,???? ? ????? ?? ? ????.,,
297,3,string,10192,???? ?? ????.,,
298,3,string,10193,??? ???? ??? ? ????.,,
299,3,string,10194,???? ????????,,
300,3,string,10195,%s <??>,,
301,3,string,10196,"?? ???? '%s'? ???????.
'%s'? ?????????",,
302,3,string,10197,???? : %02u? %02u?,,
303,3,string,10198,???,,
304,3,string,10199,??,,
305,3,string,10200,?? ???? ?? ???? ????.,,
306,3,string,10201,(?? : %d ?),,
307,3,string,10202,??? ?? ? ? ????.,,
308,3,string,10203,????? ?????.,,
309,3,string,10204,??? ?? ????.,,
310,3,string,10205,????? ????,,
311,3,string,10206,?? ???,,
312,3,string,10207,???? ?? ???,,
313,3,string,10208,????? ?? ???,,
314,3,string,10209,??? ?? ???,,
315,3,string,10210,??,,
316,3,string,10211,???? ??,,
317,3,string,10212,????? ??,,
318,3,string,10213,??? ??,,
319,3,string,10214,%d ??,,
320,3,string,10215,???? %4d M,,
321,3,string,10216,???? %4.1f Km,,
322,3,string,10217,????? ?????.,,
323,3,string,10218,"????? ?????.
????? ?? ?????.",,
324,3,string,10219,???????.,,
325,3,string,10220,????,,
326,3,string,10221,????,,
327,3,string,10222,? %s,,
328,3,string,10223,??? ????,,??? ?????
329,3,string,10224,?? ???,,
330,3,string,10225,??? ??,,
331,3,string,10226,??? ???,,
332,3,string,10227,? ????,,
333,3,string,10228,???? ?????,,
334,3,string,10229,?? ??,,
335,3,string,10230,??? ?? ??,,
336,3,string,10231,?????,,
337,3,string,10232,??? ?,,
338,3,string,10233,8?,,
339,3,string,10234,16?,,
340,3,string,10235,"??? ?? ??????.
????? ???? ??? ???? ??? ?????.",,
341,3,string,10236,???,,
342,3,string,10237,???,,
343,3,string,10238,???,,
344,3,string,10239,PvP?? %I64d ??? ???????.,,
345,3,string,10240,"%s ??
??????????",,
346,3,string,10241,?? ???? ??? %d ??? ???? ?????.,,
347,3,string,10242,???: %s,,
348,3,string,10243,???: %s,,
349,3,string,10244,%d ?,,
350,3,string,10245,????,,
351,3,string,10246,??????,,
352,3,string,10247,??? ??,,
353,3,string,10248,????,,
354,3,string,10249,????,,
355,3,string,10250,??????,,
356,3,string,10251,??????,,
357,3,string,10252,????,,
358,3,string,10253,?????,,
359,3,string,10254,N/A,,
360,3,string,10255,?,,
361,3,string,10256,?,,
362,3,string,10257,?,,
363,3,string,10258,?? ??,,
364,3,string,10259,?? ??? ?? ??? ?? ??? ?????? ??????,,
365,3,string,10260,?? ?? ??? ??????.,,
366,3,string,10261,???? ?? ??? ??????.,,
367,3,string,10262,??? ?? ??? ??????.,,
368,3,string,10263,?? ?? ??? ??????.,,
369,3,string,10264,???? ??? ??????.,,
370,3,string,10265,???? ?? ??? ??????.,,
371,3,string,10266,???? ?? ??? ??????.,,
372,3,string,10267,?? ??? ??????.,,
373,3,string,10268,????? ??? ??????.,,
374,3,string,10269,??? ?? ? ????.,,
375,3,string,10270,"??????!

?? ?? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
376,3,string,10271,"???? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
377,3,string,10272,"??? ?? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
378,3,string,10273,"?? ?? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
379,3,string,10274,"???? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
380,3,string,10275,"???? ?? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
381,3,string,10276,"???? ?? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
382,3,string,10277,"?? ?? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
383,3,string,10278,"????? %d? ??. ??? ???? ????.

???? ????? ?? ?????? ??? ??? ????!",,
384,3,string,10279,?? 25?? ??,,
385,3,string,10280,%d?,,
386,3,string,10281,????: ?? ? %d?,,
387,3,string,10282,????: ??,,
388,3,string,10283,"??? ??? ?????.
?????? ?????.",,
389,3,string,10284,??? ???? ?? ??? ??????.,,
390,3,string,10285,??? ??? ????.,,
391,3,string,10286,???? ??? ??? ???? ??? ????.,,
392,3,string,10287,???? ??? ?? ? ????.,,
393,3,string,10288,??,,
394,3,string,10289,??? ???? ?? ???? ???? ??? ?????. ?? ?? ????????,,
395,3,string,10290,? ??? ?? ????? ????? ?????? ?? ?? ??? ??????.,,
396,3,string,10291,128x128 ????? ???,,
397,3,string,10292,??? ??? ?????.,,
398,3,string,10293,??? ?????.,,
399,3,string,10294,"??? ??? ?????.
?????? ?????.",,
400,3,string,10295,???? ?????.,,
401,3,string,10296,??? ???? ? ????.,,
402,3,string,10297,??? ?????.,,
403,3,string,10298,?? ??? ???? ???.,,
404,3,string,10299,??? ?? ??.,,
405,3,string,10300,???? ?????.,,
406,3,string,10301,%s (%d?),,
407,3,string,10302,%d ?,,
408,3,string,10303,??? :,,
409,3,string,10304,????/??,,
410,3,string,10305,??? ??? ???? ??? ???.,,
411,3,string,10306,??? %d? ???,,
412,3,string,10307,?? ???,,
413,3,string,10308,?? ? : %d,,
414,3,string,10309,??? ?,,
415,3,string,10310,??? ??,,
416,3,string,10311,?? ??? ? ?? ???? ?? ???? ??? ????.,,
417,3,string,10312,? ??? ?????. (????? ? ??? ?? ? ? ????.,,
418,3,string,10313,??? ?? ??? ? ? ?? ??? %s Mito ???.,,
419,3,string,10314,?? ?? ? ??? ??? %u ????? ???.,,
420,3,string,10315,?? ??? ????.,,
421,3,string,10316,? ??? ???? ?? ?? ? ????? ????.,,
422,3,string,10317,7??? ???? ???? ? ??? ?? ? ? ????.,,
423,3,string,10318,?? ???,,
424,3,string,10319,?? ????? %02d? %02d?? %02d? %02d? ?????.,,
425,3,string,10320,??? ??????.,,
426,3,string,10321,(%u?),,
427,3,string,10322,%u?? %s,,
428,3,string,10323,%d ?,,
429,3,string,10324,%u??,,
430,3,string,10325,"?? ??? ??
???? ??? ??
? ? ????.",,
431,3,string,10326,"????? 3???? ??
? ?? ???? ??? ???.
?? ????????",,
432,3,string,10327,"????? ???
?? ???? ?? ???.
?? ????????",,
433,3,string,10328,?? ??? ?????.,,
434,3,string,10329,?? ???? ?????.,,
435,3,string,10330,??? ??? ????.,,
436,3,string,10331,?? ????? ????.,,
437,3,string,10332,???? ?????.,,
438,3,string,10333,%s?? %s??,,
439,3,string,10334,????? ??????,,
440,3,string,10335,OMD???? ?????.,,
441,3,string,10336,??? ?????????,,
442,3,string,10337,??? ??? ?????????,,
443,3,string,10338,?? ?? ?? : %s Mito,,
444,3,string,10339,?? ?? : %u,,
445,3,string,10340,%d ? ????,,
446,3,string,10341,?? %s ?? ?? ?? ? ???.,,
447,3,string,10342,%d ??? ???? ? %s ???.,,
448,3,string,10343,?? ?,,
449,3,string,10344,1 Round,,
450,3,string,10345,2 Round,,
451,3,string,10346,Final Round,,
452,3,string,10347,%d??,,
453,3,string,10348,?%d ?? ??,,
454,3,string,10349,????? %s vs ??? %s,,
455,3,string,10350,%d?? ?%d?? %d??? ??,,
456,3,string,10351,%d?? ?%d?? %d????? %s?? ??,,
457,3,string,10352,????,,
458,3,string,10353,?? + %u,,
459,3,string,10354,????,,
460,3,string,10355,?? + %u,,
461,3,string,10356,????,,
462,3,string,10357,?? + %u,,
463,3,string,10358,?????,,
464,3,string,10359,??? + %u,,
465,3,string,10360,???? %d,,
466,3,string,10361,%s?(??) ??!,,
467,3,string,10362,%s?(??) ??!,,
468,3,string,10363,%s?(??) ??!!!,,
469,3,string,10364,%s??? ????? ???? ?? ?? ???? ??? ???.,,
470,3,string,10365,%s?(??) %d?!,,
471,3,string,10366,%s??? ????? ??? ? ?? ??? ?????.,,
472,3,string,10367,%s??? ????? ??? ??? ??? ?????.,,
473,3,string,10368,%s?(??) ??!,,
474,3,string,10369,%d?? ?? ??!,,
475,3,string,10370,????? ?? ??? %d??? ??? %s??? ?????.,,
476,3,string,10371,%s?(??) ??!,,
477,3,string,10372,????? ???? ?? ???? ?? ?? ? ? ????.,,
478,3,string,10373,%s?(??) %d?!,,
479,3,string,10374,%s??? ????? ???? ? ?? ??? ?????.,,
480,3,string,10375,%s??? ????? ???? ??? ??? ?????.,,
481,3,string,10376,%d??? ??!,,
482,3,string,10377,????? ?? ???? %d??? ???? ?????,,
483,3,string,10378,????? ?? ? ? ????.,,
484,3,string,10379,??? ?????????,,
485,3,string,10380,32x32 ??? ???,,
486,3,string,10381,"????? 5,000 bytes ??? ?????.",,
487,3,string,10382,??? ??????.,,
488,3,string,10383,????? ?????.,,
489,3,string,10384,? ??????.,,
490,3,string,10385,???,,
491,3,string,10386,1?,,
492,3,string,10387,2?,,
493,3,string,10388,??? ?? ? ? ????.,,
494,3,string,10389,"??? %s? ???
?????????",,
495,3,string,10390,??,,
496,3,string,10391,?? ??? ??? ??? ???? ????.,,
497,3,string,10392,??? ??? ? ? ????.,,
498,3,string,10393,??? ? ? ?? ??????.,,
499,3,string,10394,?? ? ??? ?????.,,
500,3,string,10395,??? ??,,?????
501,3,string,10396,?? ??~,,?????????
502,3,string,10397,??? ???,,
503,3,string,10398,???? %d??,,
504,3,string,10399,<???>,,
505,3,string,10400,?? %d?? ?? ??,,
506,3,string,10401,"?? ??? %d
?? ??? %d
?? ??? %d
??? ??? %d
",,
507,3,string,10402,"???? %d
???? %d
???? %d
????? %d",,
508,3,string,10403,"???? %dkm
?? ?? %dL
?? %.3fkm",,
509,3,string,10404,%d ? %d??,,
510,3,string,10405,?? ??,,
511,3,string,10406,"%s
?? + %d",,
512,3,string,10407,"%s
?? + %d",,
513,3,string,10408,"%s
?? + %d",,
514,3,string,10409,"%s
??? + %d",,
515,3,string,10410,"%s%d?/??? %d
",,
516,3,string,10411,??/??? %d,,
517,3,string,10412,"%s ?? ???? ????
????? ???????.",,
518,3,string,10413,"%s ?? ???? ???
????? ???????.",,
519,3,string,10414,?????? %s ?? ??????? ??????.,,
520,3,string,10415,%s ??? %s ??? ????? ???????.,,
521,3,string,10416,%s ?? ?? ?? ??? ???? ????.,,
522,3,string,10417,%s ?? ??? ??? ?????????,,
523,3,string,10418,?? ????? ??? ??? ?? ??? ??? ?? ????. ?? ????????,,
524,3,string,10419,?? ??? ??? ??? ???? ????.,,
525,3,string,10420,?? ? ??? ?????.,,
526,3,string,10421,?? ? ??? ?????.,,
527,3,string,10422,%d ??,,
528,3,string,10423,"?????
?????? ? ? ????.",,
529,3,string,10424,"?????
????? ? ? ????.",,
530,3,string,10425,?? ????.,,
531,3,string,10426,??,,
532,3,string,10427,??,,
533,3,string,10428,??,,
534,3,string,10429,??,,
535,3,string,10430,???,,
536,3,string,10431,??,,
537,3,string,10432,??,,
538,3,string,10433,???,,
539,3,string,10434,???,,
540,3,string,10435,???,,
541,3,string,10436,???,,
542,3,string,10437,?,,
